topic_id,0,1,2,3,4,5,6,7,8,9,label,doc_weight_sum
0,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,0 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
1,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,1 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
2,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,2 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
3,time,sister,room,day,family,house,man,mother,feelings,father,3 time sister room day family house man,1.819240955881953
4,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,4 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
5,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,5 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
6,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,6 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
7,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,7 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
8,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,8 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
9,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,9 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
10,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,10 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
11,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,11 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
12,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,12 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
13,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,13 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
14,man,way,time,life,mind,things,father,day,eyes,money,14 man way time life mind things father,2.705424250516282
15,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,15 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
16,man,way,day,thee,time,face,eyes,work,mother,woman,16 man way day thee time face eyes,0.6442487215126372
17,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,17 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
18,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,18 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
19,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,19 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
20,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,20 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
21,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,21 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
22,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,22 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
23,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,23 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
24,man,time,chimney,wife,way,day,sort,house,sir,men,24 man time chimney wife way day sort,1.9836832912870919
25,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,25 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
26,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,26 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
27,sea,time,isle,ship,man,tower,isles,boat,day,tortoises,27 sea time isle ship man tower isles,0.9997947481264697
28,_he_,pint,pits,pitchfork,pitch,pit,pipes,pipe,pioneer,pins,28 _he_ pint pits pitchfork pitch pit pipes,2.1402704892627283e-05
29,thing,time,body,man,father,friend,oh,day,way,home,29 thing time body man father friend oh,0.8470943677581441
