topic_id,George Eliot,Herman Melville,Jane Austen,topterms
0,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
1,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
2,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
3,0.0013466310836895048,4.587403393821893e-06,0.6050624334735676,time sister room day family house man mother feelings father
4,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
5,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
6,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
7,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
8,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
9,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
10,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
11,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
12,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
13,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
14,0.7805432890933495,0.012488847103363935,0.108775947308714,man way time life mind things father day eyes money
15,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
16,0.2143396153686162,4.587403393822119e-06,0.00040537106553574113,man way day thee time face eyes work mother woman
17,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
18,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
19,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
20,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
21,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
22,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
23,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
24,0.003743014330775895,0.6541249237944169,0.0033598256371710628,man time chimney wife way day sort house sir men
25,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
26,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
27,8.930493736917015e-07,0.33326236921058616,1.6537821967050638e-06,sea time isle ship man tower isles boat day tortoises
28,8.930493736904857e-07,4.5874033938157286e-06,1.6537821967028802e-06,_he_ pint pits pitchfork pitch pit pipes pipe pioneer pins
29,5.123889226752283e-06,4.58740339382197e-06,0.2823550779600941,thing time body man father friend oh day way home
